snap,joint,mode,walls,columns,curtain_walls,invalid,blowup,rejected,hatch_iou,iou_scored,iou_eligible,coverage,score,runtime_s
0.1,0.0,,1156,778,270,0,0,0,0.4985,347,481,0.5104,0.5032,2.6
0.1,0.01,,1557,802,695,0,0,0,0.4831,723,906,0.6793,0.5616,5.73
0.1,0.025,,1576,802,694,0,0,0,0.4818,741,925,0.683,0.5623,5.63
0.1,0.05,,1582,801,691,0,0,0,0.4818,746,930,0.6844,0.5629,6.27
0.1,0.1,,1587,801,690,0,0,0,0.4825,751,935,0.686,0.5639,7.01
0.25,0.0,,1171,766,271,0,0,0,0.516,363,484,0.5151,0.5156,2.01
0.25,0.01,,1564,786,730,0,0,0,0.4922,732,897,0.6895,0.5711,5.24
0.25,0.025,coupled,1590,784,729,0,0,0,0.4913,756,921,0.6939,0.5723,5.28
0.25,0.05,,1604,781,726,0,0,0,0.4898,765,932,0.6964,0.5724,5.31
0.25,0.1,,1614,784,725,0,0,0,0.4877,777,945,0.6981,0.5719,5.46
0.4,0.0,,1179,774,296,0,0,0,0.5211,379,500,0.5169,0.5194,1.82
0.4,0.01,,1577,792,770,0,0,0,0.4894,745,916,0.6959,0.572,5.19
0.4,0.025,,1603,791,770,0,0,0,0.4891,769,941,0.6994,0.5732,5.13
0.4,0.05,,1614,787,768,0,0,0,0.4893,776,948,0.7012,0.574,5.24
0.4,0.1,,1628,788,767,0,0,0,0.4857,789,963,0.7032,0.5727,5.31
0.5,0.0,conservative,1169,764,304,0,0,0,0.498,354,480,0.5128,0.5039,1.71
0.5,0.01,,1583,783,825,0,0,0,0.4756,739,913,0.7099,0.5693,5.1
0.5,0.025,joined,1610,782,825,0,0,0,0.4742,763,939,0.7132,0.5698,5.13
0.5,0.05,,1622,777,825,0,0,0,0.4754,770,946,0.7152,0.5714,5.27
0.5,0.1,,1635,777,825,0,0,0,0.4735,782,959,0.7164,0.5706,5.33
0.6,0.0,,1168,778,370,0,0,0,0.5181,373,493,0.5171,0.5177,1.73
0.6,0.01,,1581,798,870,0,0,0,0.4835,749,926,0.7047,0.572,5.21
0.6,0.025,,1608,798,861,0,0,0,0.4839,775,953,0.7085,0.5738,5.24
0.6,0.05,,1625,793,861,0,0,0,0.4844,783,965,0.7111,0.5751,5.15
0.6,0.1,,1633,794,861,0,0,0,0.4825,790,974,0.7124,0.5744,5.39
0.75,0.0,liberal,1184,781,309,0,0,0,0.5084,387,512,0.5178,0.5122,1.78
0.75,0.01,,1586,796,821,0,0,0,0.4778,747,929,0.7079,0.5699,5.1
0.75,0.025,,1612,794,821,0,0,0,0.479,772,953,0.7073,0.5703,5.12
0.75,0.05,,1627,791,821,0,0,0,0.4791,782,965,0.7095,0.5713,5.17
0.75,0.1,,1641,791,821,0,0,0,0.4754,795,979,0.7115,0.5698,5.33
1.0,0.0,,1180,741,326,0,0,0,0.4888,349,468,0.517,0.5001,1.63
1.0,0.01,,1593,760,908,0,0,0,0.4604,722,900,0.7149,0.5622,5.02
1.0,0.025,,1623,765,913,0,1,1,0.0,0,0,0.0,0.0,4.99
1.0,0.05,,1638,768,911,0,0,0,0.4564,767,953,0.7239,0.5634,5.08
1.0,0.1,,1649,767,909,0,0,0,0.4532,776,963,0.7244,0.5617,5.2
