id,tier,category,title,source_link,focus,prompt,status,notes
1,Tier 0,Annotation / CAD graph substrate,Generalizing Floor Plans Using Graph Neural Networks,https://resourcecenter.ieee.org/conferences/icip-2021/spsicip21vid276,CAD primitive graph extraction; node classification for doors; compare graph-vs-raster; what labels/data contract did they use?,"Read this source for the Augrade GNN Strategy review: Generalizing Floor Plans Using Graph Neural Networks (https://resourcecenter.ieee.org/conferences/icip-2021/spsicip21vid276). Create a poster-ready summary for my review.

Context: I am building a vector-first CAD/BIM graph substrate with deterministic geometry, supervectors, validators, calibrated relation scoring, optional GNN/local message passing, prototype/matryoshka memory, and a rule-compilation loop.

Focus for this source: CAD primitive graph extraction; node classification for doors; compare graph-vs-raster; what labels/data contract did they use?

Output format:
1. 5-sentence executive summary.
2. What representation does the paper/source use? Be concrete about nodes/tokens, edges/relations, labels, losses, and data contract.
3. What does it prove or fail to prove for Augrade?
4. What should I adopt, avoid, or test?
5. Poster block: one diagram idea, one key table, three takeaways, and one skeptical caveat.
6. Where it fits in the paper ladder: annotation-to-object, rewrite-stable graphs, matryoshka embeddings, supervector molecules, quality loops, verifier environments, or future mech-interp.

Priority: Tier 0. Category: Annotation / CAD graph substrate.",queued,
2,Tier 0,Annotation / CAD graph substrate,Multi-Classification Of CAD Entities,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4957759,Entity-as-node GNN for CAD floor plans; compare GAT/GATv2/PNA/UniMP-style choices; identify what they keep as vector features.,"Read this source for the Augrade GNN Strategy review: Multi-Classification Of CAD Entities (https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4957759). Create a poster-ready summary for my review.

Context: I am building a vector-first CAD/BIM graph substrate with deterministic geometry, supervectors, validators, calibrated relation scoring, optional GNN/local message passing, prototype/matryoshka memory, and a rule-compilation loop.

Focus for this source: Entity-as-node GNN for CAD floor plans; compare GAT/GATv2/PNA/UniMP-style choices; identify what they keep as vector features.

Output format:
1. 5-sentence executive summary.
2. What representation does the paper/source use? Be concrete about nodes/tokens, edges/relations, labels, losses, and data contract.
3. What does it prove or fail to prove for Augrade?
4. What should I adopt, avoid, or test?
5. Poster block: one diagram idea, one key table, three takeaways, and one skeptical caveat.
6. Where it fits in the paper ladder: annotation-to-object, rewrite-stable graphs, matryoshka embeddings, supervector molecules, quality loops, verifier environments, or future mech-interp.

Priority: Tier 0. Category: Annotation / CAD graph substrate.",queued,
3,Tier 0,Annotation / CAD graph substrate,FloorPlanCAD,https://researchportal.hkust.edu.hk/en/publications/floorplancad-a-large-scale-cad-drawing-dataset-for-panoptic-symbo/,Line-level annotations and class taxonomy; what is reusable for annotation-to-object correspondence and drawing-level splits?,"Read this source for the Augrade GNN Strategy review: FloorPlanCAD (https://researchportal.hkust.edu.hk/en/publications/floorplancad-a-large-scale-cad-drawing-dataset-for-panoptic-symbo/). Create a poster-ready summary for my review.

Context: I am building a vector-first CAD/BIM graph substrate with deterministic geometry, supervectors, validators, calibrated relation scoring, optional GNN/local message passing, prototype/matryoshka memory, and a rule-compilation loop.

Focus for this source: Line-level annotations and class taxonomy; what is reusable for annotation-to-object correspondence and drawing-level splits?

Output format:
1. 5-sentence executive summary.
2. What representation does the paper/source use? Be concrete about nodes/tokens, edges/relations, labels, losses, and data contract.
3. What does it prove or fail to prove for Augrade?
4. What should I adopt, avoid, or test?
5. Poster block: one diagram idea, one key table, three takeaways, and one skeptical caveat.
6. Where it fits in the paper ladder: annotation-to-object, rewrite-stable graphs, matryoshka embeddings, supervector molecules, quality loops, verifier environments, or future mech-interp.

Priority: Tier 0. Category: Annotation / CAD graph substrate.",queued,
4,Tier 0,Annotation / CAD graph substrate,VectorGraphNET,https://arxiv.org/abs/2410.01336,Vector-native graph attention for technical drawing segmentation; cost/accuracy vs raster baselines; what supports our vector-first claim?,"Read this source for the Augrade GNN Strategy review: VectorGraphNET (https://arxiv.org/abs/2410.01336). Create a poster-ready summary for my review.

Context: I am building a vector-first CAD/BIM graph substrate with deterministic geometry, supervectors, validators, calibrated relation scoring, optional GNN/local message passing, prototype/matryoshka memory, and a rule-compilation loop.

Focus for this source: Vector-native graph attention for technical drawing segmentation; cost/accuracy vs raster baselines; what supports our vector-first claim?

Output format:
1. 5-sentence executive summary.
2. What representation does the paper/source use? Be concrete about nodes/tokens, edges/relations, labels, losses, and data contract.
3. What does it prove or fail to prove for Augrade?
4. What should I adopt, avoid, or test?
5. Poster block: one diagram idea, one key table, three takeaways, and one skeptical caveat.
6. Where it fits in the paper ladder: annotation-to-object, rewrite-stable graphs, matryoshka embeddings, supervector molecules, quality loops, verifier environments, or future mech-interp.

Priority: Tier 0. Category: Annotation / CAD graph substrate.",queued,
5,Tier 1,Annotation / CAD graph substrate,SymPoint,https://openreview.net/forum?id=aOnUe8ah7j,Vector primitives as point cloud; spotting head; what does point-style geometry preserve/lose relative to graph supervectors?,"Read this source for the Augrade GNN Strategy review: SymPoint (https://openreview.net/forum?id=aOnUe8ah7j). Create a poster-ready summary for my review.

Context: I am building a vector-first CAD/BIM graph substrate with deterministic geometry, supervectors, validators, calibrated relation scoring, optional GNN/local message passing, prototype/matryoshka memory, and a rule-compilation loop.

Focus for this source: Vector primitives as point cloud; spotting head; what does point-style geometry preserve/lose relative to graph supervectors?

Output format:
1. 5-sentence executive summary.
2. What representation does the paper/source use? Be concrete about nodes/tokens, edges/relations, labels, losses, and data contract.
3. What does it prove or fail to prove for Augrade?
4. What should I adopt, avoid, or test?
5. Poster block: one diagram idea, one key table, three takeaways, and one skeptical caveat.
6. Where it fits in the paper ladder: annotation-to-object, rewrite-stable graphs, matryoshka embeddings, supervector molecules, quality loops, verifier environments, or future mech-interp.

Priority: Tier 1. Category: Annotation / CAD graph substrate.",queued,
6,Tier 1,Annotation / CAD graph substrate,SymPoint-V2,https://arxiv.org/abs/2407.01928,"Layer-feature enhancement and position-guided training; how does authored-layer signal help, and how should we ablate it against layer-blind first pass?","Read this source for the Augrade GNN Strategy review: SymPoint-V2 (https://arxiv.org/abs/2407.01928). Create a poster-ready summary for my review.

Context: I am building a vector-first CAD/BIM graph substrate with deterministic geometry, supervectors, validators, calibrated relation scoring, optional GNN/local message passing, prototype/matryoshka memory, and a rule-compilation loop.

Focus for this source: Layer-feature enhancement and position-guided training; how does authored-layer signal help, and how should we ablate it against layer-blind first pass?

Output format:
1. 5-sentence executive summary.
2. What representation does the paper/source use? Be concrete about nodes/tokens, edges/relations, labels, losses, and data contract.
3. What does it prove or fail to prove for Augrade?
4. What should I adopt, avoid, or test?
5. Poster block: one diagram idea, one key table, three takeaways, and one skeptical caveat.
6. Where it fits in the paper ladder: annotation-to-object, rewrite-stable graphs, matryoshka embeddings, supervector molecules, quality loops, verifier environments, or future mech-interp.

Priority: Tier 1. Category: Annotation / CAD graph substrate.",queued,
7,Tier 1,Scale / windowing,CADSpotting,https://arxiv.org/abs/2412.07377,Large-scale CAD drawings; dense sampling and sliding-window aggregation; what is the scale failure mode of naive primitive graphs?,"Read this source for the Augrade GNN Strategy review: CADSpotting (https://arxiv.org/abs/2412.07377). Create a poster-ready summary for my review.

Context: I am building a vector-first CAD/BIM graph substrate with deterministic geometry, supervectors, validators, calibrated relation scoring, optional GNN/local message passing, prototype/matryoshka memory, and a rule-compilation loop.

Focus for this source: Large-scale CAD drawings; dense sampling and sliding-window aggregation; what is the scale failure mode of naive primitive graphs?

Output format:
1. 5-sentence executive summary.
2. What representation does the paper/source use? Be concrete about nodes/tokens, edges/relations, labels, losses, and data contract.
3. What does it prove or fail to prove for Augrade?
4. What should I adopt, avoid, or test?
5. Poster block: one diagram idea, one key table, three takeaways, and one skeptical caveat.
6. Where it fits in the paper ladder: annotation-to-object, rewrite-stable graphs, matryoshka embeddings, supervector molecules, quality loops, verifier environments, or future mech-interp.

Priority: Tier 1. Category: Scale / windowing.",queued,
8,Tier 2,Raster fallback,Raster-To-Graph,https://onlinelibrary.wiley.com/doi/10.1111/cgf.15007,Autoregressive graph prediction from raster floorplans; what is useful when clean DXF/DWG is unavailable?,"Read this source for the Augrade GNN Strategy review: Raster-To-Graph (https://onlinelibrary.wiley.com/doi/10.1111/cgf.15007). Create a poster-ready summary for my review.

Context: I am building a vector-first CAD/BIM graph substrate with deterministic geometry, supervectors, validators, calibrated relation scoring, optional GNN/local message passing, prototype/matryoshka memory, and a rule-compilation loop.

Focus for this source: Autoregressive graph prediction from raster floorplans; what is useful when clean DXF/DWG is unavailable?

Output format:
1. 5-sentence executive summary.
2. What representation does the paper/source use? Be concrete about nodes/tokens, edges/relations, labels, losses, and data contract.
3. What does it prove or fail to prove for Augrade?
4. What should I adopt, avoid, or test?
5. Poster block: one diagram idea, one key table, three takeaways, and one skeptical caveat.
6. Where it fits in the paper ladder: annotation-to-object, rewrite-stable graphs, matryoshka embeddings, supervector molecules, quality loops, verifier environments, or future mech-interp.

Priority: Tier 2. Category: Raster fallback.",queued,
9,Tier 0,Vector detail,VectorFloorSeg,https://openaccess.thecvf.com/content/CVPR2023/html/Yang_VectorFloorSeg_Two-Stream_Graph_Attention_Network_for_Vectorized_Roughcast_Floorplan_Segmentation_CVPR_2023_paper.html,Line/region dual stream and graph attention; extract lessons for explicit face/region nodes and room boundaries.,"Read this source for the Augrade GNN Strategy review: VectorFloorSeg (https://openaccess.thecvf.com/content/CVPR2023/html/Yang_VectorFloorSeg_Two-Stream_Graph_Attention_Network_for_Vectorized_Roughcast_Floorplan_Segmentation_CVPR_2023_paper.html). Create a poster-ready summary for my review.

Context: I am building a vector-first CAD/BIM graph substrate with deterministic geometry, supervectors, validators, calibrated relation scoring, optional GNN/local message passing, prototype/matryoshka memory, and a rule-compilation loop.

Focus for this source: Line/region dual stream and graph attention; extract lessons for explicit face/region nodes and room boundaries.

Output format:
1. 5-sentence executive summary.
2. What representation does the paper/source use? Be concrete about nodes/tokens, edges/relations, labels, losses, and data contract.
3. What does it prove or fail to prove for Augrade?
4. What should I adopt, avoid, or test?
5. Poster block: one diagram idea, one key table, three takeaways, and one skeptical caveat.
6. Where it fits in the paper ladder: annotation-to-object, rewrite-stable graphs, matryoshka embeddings, supervector molecules, quality loops, verifier environments, or future mech-interp.

Priority: Tier 0. Category: Vector detail.",queued,
10,Tier 1,Vector detail,Indoor Elements Classification Via Floor Plan Graphs,https://www.mdpi.com/2220-9964/10/2/97,Region adjacency graph; wall/door/symbol/room classification; what shape-preserving features matter?,"Read this source for the Augrade GNN Strategy review: Indoor Elements Classification Via Floor Plan Graphs (https://www.mdpi.com/2220-9964/10/2/97). Create a poster-ready summary for my review.

Context: I am building a vector-first CAD/BIM graph substrate with deterministic geometry, supervectors, validators, calibrated relation scoring, optional GNN/local message passing, prototype/matryoshka memory, and a rule-compilation loop.

Focus for this source: Region adjacency graph; wall/door/symbol/room classification; what shape-preserving features matter?

Output format:
1. 5-sentence executive summary.
2. What representation does the paper/source use? Be concrete about nodes/tokens, edges/relations, labels, losses, and data contract.
3. What does it prove or fail to prove for Augrade?
4. What should I adopt, avoid, or test?
5. Poster block: one diagram idea, one key table, three takeaways, and one skeptical caveat.
6. Where it fits in the paper ladder: annotation-to-object, rewrite-stable graphs, matryoshka embeddings, supervector molecules, quality loops, verifier environments, or future mech-interp.

Priority: Tier 1. Category: Vector detail.",queued,
