claim_id,claim,status_lane,source_or_doc,why_it_matters,source_check_status,pointed_read_status,counterfactual_or_baseline,minimal_reproduction,decision_if_false,next_action,notes
C001,Vector-first graph state should be the authoritative representation,Commitment,README.md; gnn_plan/SYSTEM_SPEC.md,Editable geometry and validator operands require exact ids/provenance,local evidence,not needed,raster/rendered-first,rendered-chip baseline and vector overlay QA,use rendered views as proposal/QA only,verify conversion fidelity on 3 DWGs,
C002,Sparse pair features must beat or set the bar before GNNs ship,Commitment,gnn_plan/SYSTEM_SPEC.md; gnn_plan/14_architecture_training_minutia.md,Prevents architecture worship and gives calibrated baseline,local plan,not needed,small GNN vs logistic/GBDT,train pair scorer on first label set,ship sparse scorer if GNN adds no residual lift,define Phase 2 baseline,
C003,Heterogeneous primitive/supervector/annotation/face graph should outperform homogeneous graph on relation tasks,Hypothesis,gnn_plan/15_counterfactual_architectures.md,Default substrate depends on this,needs experiment,pending,homogeneous graph baseline,run both on same drawing-level split,use simpler homogeneous graph if equal/better,design ablation,
C004,Rewrite-invariance loss improves cross-drafter/project stability,Hypothesis,gnn_plan/04_research_map.md; gnn_plan/13_primary_answer.md,Central to authored-CAD quotient story,needs pointed reads,pending,no rewrite loss baseline,generate rewrite variants for one slice,make rewrite report diagnostic only if no lift,review sources and implement M4,
C005,Matryoshka graph embeddings can become a product knob,Hypothesis,gnn_plan/11_paper_trajectory.md,Supports cache/routing/offline retrieval across compute budgets,source lead only,pending,flat embedding baseline,small retrieval benchmark,drop or defer if no latency/quality tradeoff,review MRL source,
C006,Scope resolver is needed before large-model context strategies,Commitment,gnn_plan/08_scope_resolver.md; gnn_plan/SYSTEM_SPEC.md,Large project files need compute scope and cache invalidation,local reasoning,not needed,full graph vs scoped graph,full-vs-scoped validator fidelity,fall back to deterministic closure only,implement deterministic baseline,
C007,Foundation models should be harness/reasoning layer not geometry engine,Commitment,gnn_plan/15_counterfactual_architectures.md; operating doctrine,Prevents hallucinated geometry and preserves validators,local reasoning,not needed,FM direct repair vs graph tool use,tool-call repair on exact ids,use FM only for explanation/research if grounding weak,define FM harness boundaries,
C008,Quality loops improve label quality and product trust,Hypothesis,operating doctrine; deck slide 12,Connects customer DX to model/data loop,source/doc support,pending,abstract labeling workflow,measure review yield and correction compression,treat as product metric only if no training lift,define loop metrics,
C009,Supervector motif discovery can compile into deterministic rules,Hypothesis,gnn_plan/11_paper_trajectory.md,Most original research/product loop,source leads pending,pending,manual rule mining baseline,motif cluster -> expert validation -> rule patch,defer mech-interp if no rule conversion,review molecular GNN analogies,
C010,Hosted verifier environments belong after typed actions and validators are mature,Commitment,gnn_plan/11_paper_trajectory.md; operating doctrine,Avoids outsourcing M1-M3/M7 and premature RL,source lead,pending,local search baseline,one typed edit + validator reward,no hosted RL until local environment is useful,review Prime docs,
